
Total Student params = 223475
Configuration:
nbits=20, nbits_data=10, batch_sz=8, read_noise=0, num_epochs=600
Teacher Model: HDR_model (dim=32, num_blocks=[4, 4, 4, 4])
Student Model: Hybrid_Student_HDR (dim=8, num_blocks=[2, 2, 2, 1], num_refinement=2, heads=[1, 2, 4, 8])
Loss Weights: alpha=1, gamma=0.001



Epoch #1: Loss =       0.2506 		PSNR = 20.19	(Time: 40.170946)
Epoch #2: Loss =       0.1357 		PSNR = 27.86	(Time: 37.544738)
Epoch #3: Loss =       0.1174 		PSNR = 27.96	(Time: 37.665690)
Epoch #4: Loss =       0.1122 		PSNR = 28.31	(Time: 37.787619)
Epoch #5: Loss =       0.1095 		PSNR = 28.50	(Time: 36.998206)
Epoch #6: Loss =       0.1078 		PSNR = 28.62	(Time: 38.403705)
Epoch #7: Loss =       0.1064 		PSNR = 28.78	(Time: 37.801069)
Epoch #8: Loss =       0.1051 		PSNR = 28.94	(Time: 37.127218)
Epoch #9: Loss =       0.1046 		PSNR = 28.99	(Time: 37.148266)
Epoch #10: Loss =       0.1031 		PSNR = 29.15	(Time: 37.157575)
Epoch #11: Loss =       0.1021 		PSNR = 29.17	(Time: 35.934572)
Epoch #12: Loss =       0.1022 		PSNR = 29.23	(Time: 35.979127)
Epoch #13: Loss =       0.1011 		PSNR = 29.35	(Time: 35.922073)
Epoch #14: Loss =       0.1006 		PSNR = 29.44	(Time: 35.933639)
Epoch #15: Loss =       0.1003 		PSNR = 29.55	(Time: 35.959235)
Epoch #16: Loss =       0.0989 		PSNR = 29.74	(Time: 35.870159)
Epoch #17: Loss =       0.0994 		PSNR = 29.79	(Time: 35.941818)
Epoch #18: Loss =       0.0986 		PSNR = 29.98	(Time: 37.300881)
Epoch #19: Loss =       0.0975 		PSNR = 30.21	(Time: 37.264106)
Epoch #20: Loss =       0.0962 		PSNR = 30.48	(Time: 37.283249)
Epoch #21: Loss =       0.0946 		PSNR = 30.67	(Time: 37.095863)
Epoch #22: Loss =       0.0944 		PSNR = 30.82	(Time: 37.868296)
Epoch #23: Loss =       0.0936 		PSNR = 31.00	(Time: 37.410303)
Epoch #24: Loss =       0.0931 		PSNR = 31.20	(Time: 37.666328)
Epoch #25: Loss =       0.0921 		PSNR = 31.40	(Time: 37.543790)
Epoch #26: Loss =       0.0913 		PSNR = 31.62	(Time: 38.210196)
Epoch #27: Loss =       0.0904 		PSNR = 31.81	(Time: 37.162396)
Epoch #28: Loss =       0.0896 		PSNR = 31.98	(Time: 37.189949)
Epoch #29: Loss =       0.0886 		PSNR = 32.13	(Time: 37.184863)
Epoch #30: Loss =       0.0878 		PSNR = 32.23	(Time: 37.184617)
Epoch #31: Loss =       0.0870 		PSNR = 32.23	(Time: 36.214052)
Epoch #32: Loss =       0.0863 		PSNR = 32.27	(Time: 35.905798)
Epoch #33: Loss =       0.0854 		PSNR = 32.30	(Time: 35.930473)
Epoch #34: Loss =       0.0849 		PSNR = 32.31	(Time: 36.299532)
Epoch #35: Loss =       0.0841 		PSNR = 32.32	(Time: 35.904319)
